loop		red		green		blue		sensor
0		91		91		91		1713.70666667
1		99		102		102		1878.18666667
2		107		113		113		2046.50666667
3		115		124		124		2207.14666667
4		123		135		135		2370.98666667
5		131		146		146		2525.86666667
6		139		157		157		2697.38666667
7		147		168		168		2860.37333333
8		155		179		179		3009.28
9		163		190		190		3164.58666667
10		171		201		201		3304.53333333
11		179		212		212		3465.38666667
12		187		223		223		3605.76
13		195		234		234		3743.14666667
14		203		245		245		3877.12
15		211		256		256		4016.64
16		219		267		267		4160.85333333
17		227		278		278		4293.54666667
18		235		289		289		4439.04
19		243		300		300		4538.02666667
20		251		311		311		4662.61333333
21		259		322		322		4794.02666667
22		267		333		333		4912.64
23		275		344		344		5041.49333333
24		283		355		355		5174.61333333
25		291		366		366		5350.4
26		299		377		377		5472.42666667
27		307		388		388		5579.94666667
28		315		399		399		5707.09333333
29		323		410		410		5825.70666667
30		331		421		421		5947.73333333
31		339		432		432		6059.52
32		347		443		443		6174.72
33		355		454		454		6293.33333333
34		363		465		465		6410.24
35		371		476		476		6522.02666667
36		379		487		487		6622.72
37		387		498		498		6735.36
38		395		509		509		6848.0
39		403		520		520		6949.54666667
40		411		531		531		7058.77333333
41		419		542		542		7157.76
42		427		553		553		7261.01333333
43		435		564		564		7364.26666667
44		443		575		575		7477.76
45		451		586		586		7585.28
46		459		597		597		7683.41333333
47		467		608		608		7787.52
48		475		619		619		7884.8
49		483		630		630		7978.66666667
50		491		641		641		8053.76
51		499		652		652		8165.54666667
52		507		663		663		8254.29333333
53		515		674		674		8356.69333333
54		523		685		685		8440.32
55		531		696		696		8523.94666667
56		539		707		707		8631.46666667
57		547		718		718		8722.77333333
58		555		729		729		8802.98666667
59		563		740		740		8867.84
60		571		751		751		8883.2
61		579		762		762		8999.25333333
62		587		773		773		9069.22666667
63		595		784		784		9152.85333333
64		603		795		795		9268.90666667
65		611		806		806		9344.0
66		619		817		817		9410.56
67		627		828		828		9501.01333333
68		635		839		839		9586.34666667
69		643		850		850		9652.90666667
70		651		861		861		9728.0
71		659		872		872		9832.10666667
72		667		883		883		9885.01333333
73		675		894		894		9953.28
74		683		905		905		10042.0266667
75		691		916		916		10123.9466667
76		699		927		927		10183.68
77		707		938		938		10265.6
78		715		949		949		10327.04
79		723		960		960		10407.2533333
80		731		971		971		10466.9866667
